epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,596.74,1.65091,1.80253,1.76781,0.90435,0.90817,0.95291,0.7226,0.90096,0.79829,1.44196,0.00333239,0.00333239,0.00333239
2,1146.43,1.25143,1.15944,1.4243,0.86528,0.89712,0.95847,0.80586,0.70583,0.75329,1.30026,0.00658324,0.00658324,0.00658324
3,1772.52,1.22496,1.16918,1.40117,0.83893,0.90383,0.90138,0.73329,0.72394,0.81222,1.35611,0.00975158,0.00975158,0.00975158
4,2105.84,1.17583,1.15698,1.36693,0.90103,0.93269,0.95982,0.79211,0.66317,0.64075,1.2767,0.00962875,0.00962875,0.00962875
5,2432.75,1.04515,1.03452,1.28675,0.89633,0.92023,0.96306,0.84606,0.5472,0.53834,1.19119,0.009505,0.009505,0.009505
6,2771.51,0.94856,0.95635,1.23334,0.92021,0.9465,0.97211,0.8887,0.46916,0.4571,1.14604,0.00938125,0.00938125,0.00938125
7,3100.68,0.87851,0.90188,1.19354,0.91257,0.94903,0.96596,0.90527,0.38107,0.44803,1.08861,0.0092575,0.0092575,0.0092575
8,3437.61,0.82231,0.85032,1.16307,0.94146,0.95119,0.97988,0.91065,0.37584,0.38375,1.08325,0.00913375,0.00913375,0.00913375
9,3951.92,0.78534,0.81936,1.14727,0.92809,0.96129,0.97887,0.92509,0.36928,0.40733,1.07868,0.00901,0.00901,0.00901
10,4313.36,0.74306,0.78805,1.1231,0.91949,0.9538,0.98,0.95133,0.32391,0.40631,1.06241,0.00888625,0.00888625,0.00888625
11,4652.36,0.72498,0.76765,1.11669,0.94285,0.94958,0.98073,0.93907,0.32617,0.3621,1.05604,0.0087625,0.0087625,0.0087625
12,4998.47,0.70399,0.74127,1.10654,0.93552,0.95792,0.98264,0.94588,0.3092,0.35966,1.04572,0.00863875,0.00863875,0.00863875
13,5342.84,0.67398,0.71667,1.08839,0.94233,0.95562,0.98218,0.95866,0.28379,0.34054,1.03927,0.008515,0.008515,0.008515
14,5676.6,0.66072,0.70623,1.08266,0.93284,0.9657,0.98555,0.94885,0.29994,0.35324,1.04446,0.00839125,0.00839125,0.00839125
15,6165.81,0.64618,0.69566,1.07638,0.94685,0.96405,0.98686,0.95752,0.26001,0.31968,1.02121,0.0082675,0.0082675,0.0082675
16,6512.91,0.64232,0.68379,1.07387,0.94849,0.96312,0.98663,0.98296,0.22962,0.27604,1.01457,0.00814375,0.00814375,0.00814375
17,6871.3,0.63132,0.68513,1.07289,0.954,0.95326,0.98559,0.95982,0.30614,0.33122,1.04324,0.00802,0.00802,0.00802
18,7220.5,0.61776,0.66806,1.0634,0.94968,0.9599,0.98588,0.97707,0.25429,0.31556,1.02085,0.00789625,0.00789625,0.00789625
19,7560.55,0.61453,0.65042,1.0677,0.96047,0.96369,0.98859,0.98155,0.23028,0.28775,1.0155,0.0077725,0.0077725,0.0077725
20,7887.64,0.598,0.63791,1.05454,0.95139,0.95971,0.98458,0.96614,0.23749,0.297,1.01312,0.00764875,0.00764875,0.00764875
21,8222.76,0.59501,0.63101,1.05866,0.95128,0.96842,0.98727,0.98201,0.21627,0.27159,1.01346,0.007525,0.007525,0.007525
22,8574.48,0.58264,0.61858,1.04887,0.94284,0.97151,0.98659,0.98458,0.19609,0.27695,1.00629,0.00740125,0.00740125,0.00740125
23,8927.37,0.58063,0.61426,1.0495,0.93824,0.95993,0.98467,0.96517,0.26609,0.28764,1.02583,0.0072775,0.0072775,0.0072775
24,9275.66,0.57975,0.61319,1.04968,0.95755,0.96908,0.98898,0.97539,0.206,0.26471,1.0069,0.00715375,0.00715375,0.00715375
25,9621.7,0.56671,0.60192,1.04247,0.95241,0.96281,0.98789,0.98521,0.2077,0.25696,1.00684,0.00703,0.00703,0.00703
26,9973.85,0.56638,0.5961,1.04399,0.95078,0.95955,0.98839,0.98796,0.18078,0.25439,1.00285,0.00690625,0.00690625,0.00690625
27,10317.7,0.55784,0.58681,1.04056,0.96423,0.96804,0.98889,0.98739,0.19044,0.22566,1.00514,0.0067825,0.0067825,0.0067825
28,10862.6,0.55403,0.58271,1.03755,0.95044,0.97374,0.98963,0.98922,0.17784,0.25078,1.00259,0.00665875,0.00665875,0.00665875
29,11201.7,0.54969,0.57378,1.03849,0.95907,0.97429,0.98953,0.98928,0.20463,0.26053,1.00608,0.006535,0.006535,0.006535
30,11543.2,0.54068,0.56964,1.03392,0.95842,0.976,0.99061,0.98914,0.19828,0.27812,1.00539,0.00641125,0.00641125,0.00641125
31,12471.2,0.53806,0.56246,1.03156,0.96663,0.9599,0.98997,0.98983,0.17102,0.25132,0.99998,0.0062875,0.0062875,0.0062875
32,13056.4,0.54194,0.56814,1.03899,0.96807,0.96848,0.9908,0.99054,0.15449,0.22171,0.99593,0.00616375,0.00616375,0.00616375
33,13402,0.52902,0.53673,1.02627,0.95988,0.97644,0.98976,0.9895,0.1571,0.21822,0.99874,0.00604,0.00604,0.00604
34,13740.3,0.5248,0.5382,1.02559,0.96321,0.96924,0.98954,0.98913,0.15475,0.21816,0.99616,0.00591625,0.00591625,0.00591625
35,14091.5,0.51564,0.53629,1.02133,0.96645,0.96447,0.99023,0.99015,0.13903,0.21087,0.99335,0.0057925,0.0057925,0.0057925
36,14433.2,0.50919,0.53027,1.01892,0.96488,0.97375,0.99038,0.99021,0.14948,0.21747,0.99441,0.00566875,0.00566875,0.00566875
37,14785.2,0.50915,0.51999,1.02024,0.97353,0.97135,0.99085,0.99079,0.14506,0.20199,0.99387,0.005545,0.005545,0.005545
38,15147.7,0.49967,0.51698,1.01263,0.96952,0.96635,0.99007,0.98994,0.12706,0.20472,0.99103,0.00542125,0.00542125,0.00542125
